date,guild,score
2026-04-04,Nínelives,16
2026-04-04,BrigadePhantom,1
2026-04-04,EMH-Shogunate,1
2026-04-04,Jardin-Lunaire,1
2026-04-04,NhatNguyet,1
2026-04-04,Sanctuarys,1
2026-04-04,Star·Bound,1
2026-04-04,Toronto,1
2026-04-04,ASWANG,12
2026-04-04,COBAKA,37
2026-04-04,Comfy,12
2026-04-04,Iridium,16
2026-04-04,Liberty-City,10
2026-04-04,Melancolypse,17
2026-04-04,VN-HoàngKim,28
2026-04-04,Visual,12
2026-04-04,AfterFlame,18
2026-04-04,BlackFurry,51
2026-04-04,Clandestine,51
2026-04-04,Jasmin'Tea,13
2026-04-04,CobraKai,18
2026-04-04,Jenova,17
2026-04-04,Ħao,12
2026-04-04,連燈,28
2026-04-04,KALYANMITR,12
2026-04-04,会Ashura,40
2026-04-04,AdriftWanderes,36
2026-04-04,Zhou,17
2026-04-04,Echoes-of-Sin,24
2026-04-04,The-Inner-Ways,15
2026-04-04,Party-Crashers,17
2026-04-04,Mutiny,33
2026-04-04,Velocity,34
2026-04-04,Hellsing(SEA),25
2026-04-04,MoonlitPath,14
2026-04-04,Pleasure Seekers (OCE/SEA),19
2026-04-04,Dragons-Heirs,31
2026-04-04,Imperialis,17
2026-04-04,DanmeiSect,15
2026-04-04,Tethys,23
2026-04-04,LimitedEdition,24
2026-04-04,TigreEcarlate,40
2026-04-04,Desolate,16
2026-04-04,Mountains,42
2026-04-05,SHlTMAN,1
2026-04-05,FBI,1
2026-04-05,MoonRiver,1
2026-04-05,MiaoMeow,2
2026-04-05,Hishaku,2
2026-04-05,BrigadePhantom,1
2026-04-05,EMH-Shogunate,1
2026-04-05,Jardin-Lunaire,1
2026-04-05,NhatNguyet,1
2026-04-05,Sanctuarys,1
2026-04-05,Star·Bound,1
2026-04-05,Toronto,1
2026-04-05,ASWANG,12
2026-04-05,COBAKA,44
2026-04-05,Comfy,12
2026-04-05,Iridium,16
2026-04-05,Liberty-City,10
2026-04-05,Melancolypse,17
2026-04-05,VN-HoàngKim,28
2026-04-05,Visual,12
2026-04-05,AfterFlame,18
2026-04-05,BlackFurry,72
2026-04-05,Clandestine,60
2026-04-05,Jasmin'Tea,13
2026-04-05,CobraKai,18
2026-04-05,Jenova,17
2026-04-05,Ħao,12
2026-04-05,連燈,31
2026-04-05,KALYANMITR,12
2026-04-05,会Ashura,41
2026-04-05,AdriftWanderes,36
2026-04-05,Zhou,17
2026-04-05,Echoes-of-Sin,24
2026-04-05,The-Inner-Ways,15
2026-04-05,Party-Crashers,17
2026-04-05,Mutiny,33
2026-04-05,Velocity,34
2026-04-05,Hellsing(SEA),26
2026-04-05,MoonlitPath,14
2026-04-05,Pleasure Seekers (OCE/SEA),19
2026-04-05,Dragons-Heirs,35
2026-04-05,Imperialis,17
2026-04-05,DanmeiSect,15
2026-04-05,Tethys,23
2026-04-05,LimitedEdition,24
2026-04-05,TigreEcarlate,47
2026-04-05,Desolate,16
2026-04-05,Mountains,62
2026-04-05,Nínelives,18
2026-04-06,GuangDong,1
2026-04-06,Diva,1
2026-04-06,SHlTMAN,1
2026-04-06,FBI,1
2026-04-06,MoonRiver,1
2026-04-06,MiaoMeow,2
2026-04-06,Hishaku,2
2026-04-06,BrigadePhantom,1
2026-04-06,EMH-Shogunate,1
2026-04-06,Jardin-Lunaire,1
2026-04-06,NhatNguyet,1
2026-04-06,Sanctuarys,1
2026-04-06,Star·Bound,1
2026-04-06,Toronto,1
2026-04-06,ASWANG,12
2026-04-06,COBAKA,47
2026-04-06,Comfy,12
2026-04-06,Iridium,16
2026-04-06,Liberty-City,11
2026-04-06,Melancolypse,18
2026-04-06,VN-HoàngKim,28
2026-04-06,Visual,12
2026-04-06,AfterFlame,18
2026-04-06,BlackFurry,72
2026-04-06,Clandestine,63
